id,name,wkt
1,6287,"POLYGON((529584.978 5074168.937,529583.385 5074150.62,529491.354 5074175.0,529500.973 5074199.0))"
2,6296,"POLYGON((529600.649 5074241.0,529594.283 5074243.0,529480.412 5074324.0,529541.869 5074337.0,529541.869 5074336.0,529542.254 5074336.0,529546.869 5074332.0,529546.869 5074331.0,529547.126 5074331.0,529551.869 5074326.0,529551.869 5074326.0,529551.998 5074326.0,529556.869 5074321.0,529561.869 5074321.0,529571.869 5074321.0,529596.869 5074281.0,529596.869 5074256.0,529600.649 5074241.0))"
3,10506,"POLYGON((528028.426 5074814.389,527954.494 5074789.919,527946.685 5074837.298,528009.627 5074863.764))"
4,10507,"POLYGON((528040.401 5074752.433,527960.131 5074733.274,527961.516 5074754.0,528039.359 5074774.3))"
5,10509,"POLYGON((528098.713 5074711.822,528070.077 5074765.449,528111.994 5074778.271,528133.596 5074761.284,528123.183 5074732.648))"
6,10562,"POLYGON((529158.545 5073624.0,529103.8 5073612.0,529096.395 5073632.0,529096.515 5073633.0,529133.038 5073635.0,529158.545 5073624.0))"
7,25030,"POLYGON((529949.563 5072489.785,529974.704 5072484.413,529967.605 5072427.148,529946.308 5072418.156,529923.118 5072395.912))"
8,25031,"POLYGON((529936.842 5072442.293,529928.324 5072421.942,529874.371 5072434.247,529886.203 5072465.956))"
9,25032,"POLYGON((529908.446 5072492.459,529948.101 5072490.516,529934.476 5072446.079,529885.73 5072467.376,529897.088 5072497.192))"
10,25033,"POLYGON((529896.615 5072498.611,529872.579 5072434.0,529847.242 5072445.0,529872.951 5072499.558))"
11,25034,"POLYGON((529873.425 5072500.504,529854.494 5072462.643,529831.304 5072463.59,529815.828 5072466.0,529810.953 5072486.78,529837.456 5072498.138))"
12,25035,"POLYGON((529815.828 5072466.0,529791.549 5072447.025,529776.878 5072464.536,529810.007 5072487.253,529815.828 5072466.0))"
13,25036,"POLYGON((529748.009 5072436.14,529774.985 5072389.76,529703.048 5072402.538))"
14,25037,"POLYGON((529765.046 5072487.726,529758.894 5072455.544,529700.209 5072460.277,529685.064 5072485.833,529704.941 5072509.023,529731.444 5072498.611))"
15,25038,"POLYGON((529579.525 5072606.043,529660.454 5072561.556,529647.367 5072542.0,529554.491 5072592.0,529568.167 5072601.311))"
16,25039,"POLYGON((529671.812 5072527.481,529649.569 5072494.352,529605.082 5072478.261,529571.953 5072518.015,529554.491 5072592.0))"
17,25040,"POLYGON((529460.735 5072564.396,529428.079 5072565.815,529354.25 5072588.059,529350.937 5072599.417,529461.681 5072607.463))"
18,25041,"POLYGON((529848.341 5072445.605,529839.349 5072433.774,529810.953 5072412.95,529790.603 5072447.498,529815.828 5072466.0,529854.494 5072462.17))"
19,25042,"POLYGON((529839.043 5072401.0,529820.892 5072403.958,529810.953 5072413.423,529839.823 5072434.72,529839.043 5072401.0))"
20,25043,"POLYGON((529872.579 5072434.0,529869.165 5072413.423,529838.403 5072409.164,529839.823 5072433.774,529848.815 5072443.712,529872.579 5072434.0))"
21,25045,"POLYGON((529270.256 5073295.0,529266.869 5073291.0,529261.869 5073286.0,529256.869 5073281.0,529251.869 5073276.0,529246.869 5073271.0,529241.869 5073266.0,529231.869 5073271.0,529226.869 5073271.0,529171.869 5073261.0,529146.869 5073261.0,529141.869 5073266.0,529038.653 5073291.313,529080.861 5073348.653,529127.848 5073327.947,529233.319 5073421.0,529270.256 5073295.0))"
22,25046,"POLYGON((529127.052 5073327.947,529080.861 5073350.246,529128.463 5073402.0,529257.739 5073490.0,529233.319 5073421.0))"
23,25047,"POLYGON((529283.735 5073526.0,529257.739 5073490.0,529128.463 5073402.0,529105.127 5073462.0,529107.4 5073470.0,529281.869 5073532.0,529281.869 5073531.0,529283.735 5073526.0))"
24,25048,"POLYGON((529281.869 5073543.0,529281.869 5073532.0,529107.4 5073470.0,529098.888 5073516.0,529117.825 5073547.0,529281.869 5073543.0))"
25,25049,"POLYGON((529258.457 5073644.911,529281.869 5073596.0,529281.869 5073543.0,529117.825 5073547.0,529112.591 5073571.0,529201.295 5073627.0))"
